file_id,expected_speakers,duration_seconds,global_rms,speech_coverage,detected_speakers,DER_percent,speech_precision,speech_recall,speaker_accuracy_overlap,speaker_accuracy_reference,pause_detection_accuracy,missed_speech_seconds,false_alarm_seconds,speaker_confusion_seconds,diarization_error_seconds,silhouette_score,cluster_balance_ratio,speaker_switches,segment_smoothness,mean_segment_duration_seconds,pitch_mean_hz,pitch_min_hz,pitch_max_hz,spectral_centroid_mean,spectral_centroid_std,F1_median_hz,F2_median_hz,F3_median_hz,jitter_local_percent,shimmer_local_percent,HNR_db,speaking_rate_proxy_per_minute,voice_onset_time_proxy_median_ms,runtime_seconds
oxxwk,2,478.104,0.09489,0.9561,2,36.53,0.8833,0.9958,0.7694,0.7662,0.2507,1.7,53.5,93.4,148.6,0.4615,0.0566,8,0.9821,19.047,164.728,65.406,573.915,1555.16417,920.76592,605.130874,2078.54081,3372.761423,4.912737,16.723526,-0.727788,141.323519,0.0,1386.8249
paibn,3,341.891,0.085085,0.9865,3,1.04,0.9964,0.9979,0.9952,0.9932,0.75,0.7,1.2,1.6,3.5,0.4585,0.0433,8,0.976,37.476,232.378,65.406,1005.032,2077.84842,1189.60502,645.522903,2278.730712,3311.734513,4.37719,14.438033,-0.316535,170.985369,32.0,1318.437
pgkde,3,294.426,0.014313,0.9911,3,4.8,0.9877,0.9959,0.9685,0.9644,0.25,1.2,3.6,9.1,13.9,0.4697,0.2252,14,0.9516,19.454,120.358,65.406,611.564,1508.38622,1180.06425,554.31965,2025.061642,3199.883784,3.087624,22.611925,-4.366943,176.006965,32.0,1032.0671
plbbw,2,87.072,0.034529,0.943,2,8.3,0.9234,1.0,1.0,1.0,0.4375,0.0,6.3,0.0,6.3,0.5603,0.0649,2,0.9753,27.371,212.572,124.905,999.244,2128.61311,1098.81504,638.508924,2065.02814,3083.888115,3.251637,19.146467,-0.740652,164.279697,32.0,276.2195
ppgjx,2,522.768,0.057522,0.9699,2,39.87,0.8781,0.9971,0.7419,0.7397,0.1812,1.3,61.9,115.1,178.3,0.2647,0.0549,14,0.9719,23.047,211.564,71.739,1310.916,1981.1562,917.79923,792.89588,2071.857108,3310.3916,4.086376,17.488413,-2.61691,144.683861,32.0,1959.0915
praxo,2,506.784,0.046068,0.9899,1,43.45,0.9867,0.9958,0.5814,0.579,0.2717,2.1,6.7,207.4,216.2,,1.0,0,1.0,83.611,173.298,65.406,690.434,1770.32717,898.16721,612.585816,2175.444426,3357.56619,4.45555,17.335669,-1.833832,189.051526,48.0,1551.2319
qhesr,2,154.152,0.094403,0.9987,2,3.07,0.9708,1.0,0.9993,0.9993,0.0217,0.0,4.5,0.1,4.6,0.5594,0.0704,3,0.9801,38.488,139.186,65.406,288.62,1471.15032,549.53824,598.306308,2093.984393,3354.424659,4.513423,15.696357,-0.517823,143.031594,0.0,483.6185
qpylu,2,44.513,0.031613,0.9806,2,67.88,0.7529,0.997,0.6505,0.6485,0.069,0.1,10.8,11.5,22.4,0.3206,0.1622,2,0.9524,14.549,466.368,67.713,1952.842,2236.45473,875.22847,1258.752125,2290.568088,3514.108852,4.337361,13.750522,-0.519152,145.711144,112.0,129.3412
qsfzo,2,143.673,0.033715,0.9985,2,2.32,0.9909,1.0,0.9859,0.9859,0.0714,0.0,1.3,2.0,3.3,0.4969,0.4896,5,0.9648,23.909,200.629,97.999,314.742,2110.90584,1044.05396,729.474056,2070.295477,3408.170075,2.875029,18.101906,0.563371,154.033112,0.0,406.3277
qvtia,2,364.608,0.039775,0.7897,2,31.37,0.7656,0.9892,1.0,0.9892,0.4741,2.5,70.1,0.0,72.6,0.3473,0.2701,9,0.9663,6.135,173.005,65.406,905.786,1683.91723,972.447,660.671098,1897.023583,3119.691105,4.862066,19.859589,-4.45305,138.12158,32.0,713.1144
qzwxa,2,224.0,0.085635,0.9703,2,1.63,0.9881,0.9995,0.9963,0.9958,0.7079,0.1,2.6,0.8,3.5,0.5358,0.2123,2,0.9907,54.336,217.728,65.406,644.198,1675.14034,1008.13851,642.848042,2142.068715,3103.825884,4.256324,19.900785,-3.703014,157.007163,32.0,540.3246
rtvuw,3,56.856,0.065318,0.9977,2,30.58,0.9789,1.0,0.7158,0.7158,0.0769,0.0,1.2,15.8,17.0,0.2073,0.037,2,0.9636,18.909,279.069,131.571,471.58,2215.05331,847.9068,816.178538,2104.691226,3160.024666,3.785565,18.104513,-0.692224,160.363636,32.0,140.9822
sldwj,3,140.33,0.037945,0.9936,3,7.52,0.9613,1.0,0.965,0.965,0.1148,0.0,5.4,4.7,10.1,0.4015,0.0864,15,0.8913,8.715,201.416,65.406,420.13,1784.21663,1046.16158,628.673032,2060.037129,3199.575883,4.21704,16.315619,-0.590124,173.408063,32.0,343.3007
sosnj,3,346.68,0.022837,0.9514,3,4.64,0.9737,0.9981,0.9823,0.9805,0.6314,0.6,8.7,5.7,15.0,0.4527,0.1852,28,0.9136,11.373,193.705,74.699,1223.128,2052.1875,1107.53826,678.893055,1958.149761,3372.841403,3.511575,20.225422,-2.795717,183.430188,0.0,792.9958
spzmn,2,156.24,0.041105,0.9921,2,1.36,0.9961,0.9981,0.9922,0.9903,0.5714,0.3,0.6,1.2,2.1,0.5728,0.1079,3,0.9804,38.752,259.512,65.406,869.892,1356.40017,593.17554,648.873776,1990.254254,3017.263476,3.107837,17.896471,-1.600901,175.708523,64.0,400.798
syiwe,3,69.146,0.047937,0.995,3,46.88,0.9274,0.9953,0.6119,0.609,0.0,0.3,5.0,24.8,30.1,0.295,0.0192,5,0.9242,11.467,202.962,65.406,442.549,1889.11461,1081.53796,698.688711,2051.706327,3332.903237,5.026372,18.889965,-1.994471,145.038168,0.0,163.0618
szsyz,3,49.344,0.029752,0.9994,3,6.5,0.996,1.0,0.939,0.939,0.0,0.0,0.2,3.0,3.2,0.4906,0.0455,2,0.9583,16.437,131.765,76.888,278.788,1463.53099,938.80057,543.509611,1863.146029,3419.326962,4.176011,18.039104,-1.511667,185.200954,192.0,121.2982
tcwsn,2,381.864,0.039933,0.9944,2,37.87,0.9629,0.997,0.6617,0.6597,0.0537,1.1,14.1,123.8,139.0,0.3471,0.0327,1,0.9974,94.936,140.374,65.406,710.665,1597.52608,992.7809,580.856247,2185.462965,3243.50642,4.055809,19.43972,-1.969494,175.189394,32.0,910.0628
tucrg,3,26.208,0.052609,0.9512,3,454.17,0.1912,1.0,0.6875,0.6875,0.0558,0.0,20.3,1.5,21.8,0.3451,0.2667,5,0.7826,4.155,516.34,103.826,916.311,1688.20398,269.47272,895.01577,1732.946209,2589.779491,4.816727,10.720741,-2.135458,103.498074,448.0,62.6009
uatlu,3,147.24,0.044892,0.8559,3,23.37,0.9091,0.9176,0.935,0.858,0.4091,10.5,11.7,7.6,29.8,0.349,0.3143,10,0.9174,7.099,226.076,65.406,422.564,2273.60561,952.9041,860.074359,2367.54371,3572.891094,4.78436,15.332874,0.184858,110.010017,32.0,294.3222
whmpa,2,53.856,0.04822,0.8313,2,1.34,1.0,1.0,0.9866,0.9866,1.0,0.0,0.0,0.6,0.6,0.3947,0.0476,1,0.9767,22.384,283.585,161.982,488.211,2235.57585,748.64085,886.94797,2206.223609,3222.637159,2.84482,18.418991,1.194335,170.331651,0.0,112.852
willh,2,125.544,0.058399,0.9834,2,54.29,0.9328,1.0,0.5291,0.5291,0.1942,0.0,8.3,54.3,62.6,0.3624,0.0603,3,0.9754,30.864,117.505,65.406,982.077,1225.5088,800.83509,557.203624,1785.289203,3019.319465,4.161494,20.884346,-4.21883,143.612461,32.0,291.9371
wmori,2,120.12,0.089539,0.987,2,62.89,0.8339,1.0,0.5703,0.5703,0.0751,0.0,19.7,42.5,62.2,0.2339,0.0926,4,0.9658,23.712,158.629,65.406,479.823,1555.07864,1058.65955,544.99512,1833.073456,3039.297573,3.948813,15.052734,-0.255316,128.389482,0.0,299.7449
xiglo,3,111.0,0.038967,0.9773,3,8.02,0.9374,0.9971,0.9892,0.9863,0.2273,0.3,6.8,1.1,8.2,0.4007,0.1622,3,0.9714,27.12,170.637,65.785,361.544,1864.31809,862.77042,811.534872,2226.628663,3495.734167,4.973386,16.610279,-1.733697,156.868058,32.0,265.3808
xvllq,3,252.343,0.08655,0.9551,3,3.4,0.9818,0.9971,0.9874,0.9845,0.6923,0.7,4.4,3.0,8.1,0.4204,0.1389,10,0.9574,18.54,176.328,76.446,835.421,1798.28245,1035.58816,597.693433,2140.108577,3314.263914,4.172004,14.397332,-0.185905,170.103578,112.0,592.9197
yrsve,3,587.04,0.027705,1.0,3,5.5,0.998,1.0,0.9471,0.9471,0.0,0.0,1.2,31.0,32.2,0.3164,0.0033,21,0.9642,26.684,193.044,65.406,488.211,2190.26328,888.70243,1244.205744,2431.455571,3584.237444,4.092604,12.190105,-0.662325,191.082171,16.0,1516.1452
ywcwr,2,138.24,0.014364,0.9981,2,7.15,0.9413,0.9992,0.9915,0.9908,0.0122,0.1,8.1,1.1,9.3,0.4777,0.4891,3,0.9779,34.496,155.808,65.406,322.099,1771.25713,675.07902,800.061122,2069.607547,3042.802345,3.879445,14.974156,-2.183419,137.776731,16.0,346.8499
zajzs,2,191.136,0.039044,1.0,2,1.99,0.9979,1.0,0.9822,0.9822,0.0,0.0,0.4,3.4,3.8,0.4148,0.179,5,0.9737,31.856,249.426,91.966,880.0,1285.15613,535.33903,570.429158,1785.231383,2602.979305,5.032783,17.754833,-2.392645,180.827686,0.0,491.6523
zrlyl,2,567.192,0.039486,0.9319,1,24.75,0.9791,0.9812,0.7883,0.7734,0.6942,10.0,11.1,110.3,131.4,,1.0,0,1.0,14.286,161.474,65.406,385.261,1848.63551,1051.18771,581.115093,2223.736187,3492.881757,4.620877,16.002897,-1.126297,162.328884,0.0,1264.9869
zyffh,3,252.072,0.054448,0.9999,2,5.15,0.9786,1.0,0.9704,0.9704,0.0,0.0,5.4,7.3,12.7,0.4235,0.6913,8,0.9681,28.004,136.892,65.406,1202.115,1305.38123,557.59639,561.577097,1773.613694,2813.382605,4.503191,16.638348,-2.27036,149.413783,0.0,655.5138
